sample_date,location,latitude,longitude,sample_depth_m,karenia_brevis_cells_per_liter,abundance_category
2018-06-06,Big Island; 2.2 mi E of (Old Tampa Bay),27.9055,-82.6046,0.1,0.0,Not present/background
2018-06-06,Big Island; 2.2 mi E of (Old Tampa Bay),27.9055,-82.6046,0.5,0.0,Not present/background
2018-06-06,Big Island; 2.2 mi E of (Old Tampa Bay),27.9055,-82.6046,3.0,0.0,Not present/background
2018-06-06,San Jose St; W of (Old Tampa Bay),27.9244,-82.5496,0.5,0.0,Not present/background
2018-06-06,South Howard Avenue; SE of (Hillsborough Bay),27.924817,-82.482943,0.1,0.0,Not present/background
2018-06-06,South Albany Avenue; NE of (Hillsborough Bay),27.92732,-82.478748,0.0,0.0,Not present/background
2018-06-06,High Point; 2 mi NE of (Old Tampa Bay),27.942,-82.675,0.1,0.0,Not present/background
2018-06-06,High Point; 2 mi NE of (Old Tampa Bay),27.942,-82.675,0.5,0.0,Not present/background
2018-06-06,Howard Frankland Bridge; N of (Old Tampa Bay),27.949,-82.561,0.5,0.0,Not present/background
2018-06-06,C. Campbell Causeway; S of (Old Tampa Bay),27.957,-82.622,0.1,0.0,Not present/background
2018-06-06,C. Campbell Causeway; S of (Old Tampa Bay),27.957,-82.622,0.5,0.0,Not present/background
2018-06-06,C. Campbell Causeway; S of (Old Tampa Bay),27.957,-82.622,3.4,0.0,Not present/background
2018-06-06,Cooper Point; E of (Old Tampa Bay),27.972,-82.673,0.5,0.0,Not present/background
2018-06-06,Old Tampa Bay Park; 1.7 mi S of (Old Tampa Bay),27.98,-82.62,0.5,0.0,Not present/background
2018-06-06,Philippe Park; NE of (Safety Harbor),28.02,-82.675,0.1,0.0,Not present/background
2018-06-06,Philippe Park; NE of (Safety Harbor),28.02,-82.675,0.5,0.0,Not present/background
2018-06-06,Philippe Park; NE of (Safety Harbor),28.02,-82.675,2.5,0.0,Not present/background
2018-06-06,Geiger Point; Melbourne Causeway at (Indian River),28.08245,-80.59505,0.2,0.0,Not present/background
2018-06-06,Eau Gallie Pier (Indian River),28.13248,-80.62418,0.2,0.0,Not present/background
2018-06-06,Hawksbill Island Drive; canal E of (Banana River),28.198262,-80.612495,0.5,0.0,Not present/background
2018-06-06,Ramp Road Park Boat Ramp (Banana River),28.309033,-80.614283,0.2,0.0,Not present/background
2018-06-06,520 Slick Boat Ramp (Banana River),28.357133,-80.62844,0.2,0.0,Not present/background
2018-06-06,Kelly Park (Banana River),28.4017,-80.66245,0.2,0.0,Not present/background
2018-06-06,Port St. John Boat Ramp (Indian River),28.475083,-80.766533,0.2,0.0,Not present/background
2018-06-06,NASA Causeway; SE side of (Indian River),28.52641,-80.7391,0.2,0.0,Not present/background
2018-06-06,Parrish Park Boat Ramp (Indian River),28.62365,-80.795517,0.2,0.0,Not present/background
2018-06-06,Millender Street; S of (St. George Sound),29.7301,-84.88478,0.1,0.0,Not present/background
2018-06-06,Shell Point; E of (West Bay),30.212,-85.733556,0.2,0.0,Not present/background
2018-06-06,Cedar Hammock; W of (West Bay),30.259694,-85.749083,0.2,0.0,Not present/background
2018-06-06,Coon Point; 1.1 mi SW of (West Bay),30.271361,-85.826611,0.2,0.0,Not present/background
2018-06-06,Navarre Pier,30.376,-86.8631,0.5,0.0,Not present/background
2018-06-07,Sawyer Key; 2 mi NW of,24.769483,-81.601017,0.2,0.0,Not present/background
2018-06-07,Sawyer Key; 3.2 mi NW of,24.78372,-81.61275,0.2,0.0,Not present/background
2018-06-07,Sawyer Key; 5.1 mi NW of,24.79875,-81.638667,0.2,0.0,Not present/background
2018-06-07,Sawyer Key; 7 mi NW of,24.811917,-81.664667,0.2,0.0,Not present/background
2018-06-07,Sea Oat Island; N of,25.988486,-81.748338,0.5,0.0,Not present/background
2018-06-07,Gordon Pass; SW of,26.090353,-81.805893,0.5,0.0,Not present/background
2018-06-07,Sanibel Causeway; SE end of (San Carlos Bay),26.4835,-82.012,0.5,0.0,Not present/background
2018-06-07,Punta Rassa Road; SE of (San Carlos Bay),26.4848,-82.0019,0.5,0.0,Not present/background
2018-06-07,Don Quixote Drive; canal N of,26.91183,-82.08607,0.5,0.0,Not present/background
2018-06-07,Pittman Park (Peace River),26.93044,-82.0599,0.5,0.0,Not present/background
2018-06-07,Bay Dock (Sarasota Bay),27.3316,-82.5779,0.5,166000.0,Medium
2018-06-07,New Pass Dock (Sarasota Bay),27.33375,-82.57938,0.5,68000.0,Low
2018-06-07,Quick Point (New Pass),27.33717,-82.58067,0.2,22667.0,Low
2018-06-07,Coon Key; S of (Sarasota Bay),27.438,-82.6435,0.2,0.0,Not present/background
2018-06-07,Longboat Pass (Sarasota Bay),27.443167,-82.688,0.2,23333.0,Low
2018-06-07,Madeira Beach,27.796667,-82.7975,0.1,0.0,Not present/background
2018-06-07,Redington Shores Beach,27.831667,-82.8352,0.1,0.0,Not present/background
2018-06-07,Rock Island; NW of,28.82472,-82.74168,0.1,0.0,Not present/background
2018-06-07,Sikes Cut; N of (Apalachicola Bay),29.622,-84.963333,0.5,0.0,Not present/background
2018-06-07,Peninsular Circle; N of (Alligator Harbor),29.904,-84.3715,0.1,0.0,Not present/background
2018-06-07,Alligator Point Marina; N of (Alligator Harbor),29.906333,-84.418,0.1,0.0,Not present/background
2018-06-07,St. Teresa; S of (Alligator Harbor),29.925667,-84.45083,0.1,0.0,Not present/background
2018-06-07,West Bay Point; SE of (North Bay),30.224222,-85.713972,0.1,0.0,Not present/background
2018-06-07,Little Oyster Bar Point; NW of (North Bay),30.256889,-85.684222,0.1,0.0,Not present/background
2018-06-07,Bailey Bridge; E of (North Bay),30.258667,-85.645806,0.1,0.0,Not present/background
2018-06-08,Court of Palms; NW of (Caloosahatchee River),26.531733,-81.95245,0.5,0.0,Not present/background
2018-06-08,Laverne Street; S of (Peace River),26.965411,-82.05364,0.5,0.0,Not present/background
2018-06-08,Bay Dock (Sarasota Bay),27.3316,-82.5779,0.5,16000.0,Low
2018-06-08,New Pass Dock (Sarasota Bay),27.33375,-82.57938,0.5,213000.0,Medium
2018-06-08,Pine Island; 18 mi W of,28.583333,-82.953333,0.5,0.0,Not present/background
2018-06-08,Lemon Grove Island; 6 mi W of,28.595,-82.765,0.5,0.0,Not present/background
2018-06-08,Sunrise Park (Mosquito Lagoon),28.874937,-80.840174,1.0,0.0,Not present/background
2018-06-08,River Breeze Park (Mosquito Lagoon),28.898542,-80.851515,1.0,0.0,Not present/background
2018-06-08,George R. Kennedy Memorial Park; E of (Indian River North),28.9947,-80.9002,0.5,0.0,Not present/background
2018-06-08,Snake Key; 3.5 mi S of,29.044783,-83.040067,0.5,0.0,Not present/background
